rule,patientAll,patientA-faulty,patientH-faulty,patientJ-faulty,allPatient-faulty,patientA,patientH,patientJ,allPatient,a95-160,a110-120,patientA-telex,patientH-telex,patientJ-telex,patientAll-telex,patientA_CV0,patientA_CV1,patientA_CV2,patientA_CV3,patientB_CV0,patientB_CV1,patientB_CV2,patientB_CV3,patientC_CV0,patientC_CV1,patientC_CV2,patientC_CV3,patientD_CV0,patientD_CV1,patientD_CV2,patientD_CV3,patientE_CV0,patientE_CV1,patientE_CV2,patientE_CV3,patientF_CV0,patientF_CV1,patientF_CV2,patientF_CV3,patientG_CV0,patientG_CV1,patientG_CV2,patientG_CV3,patientH_CV0,patientH_CV1,patientH_CV2,patientH_CV3,patientI_CV0,patientI_CV1,patientI_CV2,patientI_CV3,patientJ_CV0,patientJ_CV1,patientJ_CV2,patientJ_CV3
,11,,,,,,,,,,,,,,,0,0,0,0,0.3,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0,0,0,0,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0,0,0,0
,12,,,,,,,,,,,,,,,0,0,0,0,83,83,83,83,0,0,0,0,0,0,0,0,77,77,77,77,83,83,83,83,0,0,0,0,77,77,77,77,77,77,77,77,83,83,83,83
,13,,,,,,,,,,,,,,,0,0,0,0,2.6,2.6,2.6,2.6,0,0,0,0,0,0,0,0,2.5,2.5,2.5,2.5,2.3,2.3,2.3,2.3,0,0,0,0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,-0.15,-0.15,-0.15,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
