LBGT,HBGT,TN,FN,TP,FP,TPR,FPR,Fault num, alert_num, Hazard num, mttf , lantecy , reaction_time,                 avg_TN,avg_TP,avg_FP,avg_FN, f1_micro_avg, f1_macro_avg , f1_weighted_avg,                 TN,TP,FP,FN, F1_micro, F1_macro , F1_weighted,                 mttf_std, lantecy_std,rectime_std
95,165,1070,0,613,2349,1,0.687,4032,2962,613,317.09,-197.33,344.17,178.42,3.81,14.26,3.3,0,0.63,0.93,                 1070 (26.5%),613 (15.2%),2349 (58.3%),0 (0.0%),0,0.41,0.46,110.66,360.36,209.32
80,145,1031,6,606,2389,0.99,0.699,4032,2997,613,317.09,-263.34,337.04,175.06,3.81,17.62,3.3,0,0.62,0.92,                 1031 (25.6%),606 (15.0%),2389 (59.3%),6 (0.1%),0,0.4,0.44,110.66,356.52,239.74
95,160,1025,0,613,2394,1,0.7,4032,3007,613,317.09,-193.38,345.82,177.73,3.81,14.95,3.3,0,0.62,0.93,                 1025 (25.4%),613 (15.2%),2394 (59.4%),0 (0.0%),0,0.4,0.44,110.66,358.3,208.82
80,140,994,6,606,2426,0.99,0.709,4032,3034,613,317.09,-276.38,340.02,170.05,3.81,22.62,3.3,0,0.61,0.91,                 994 (24.7%),606 (15.0%),2426 (60.2%),6 (0.1%),0,0.39,0.43,110.66,357,240.54
85,145,974,2,611,2445,0.997,0.715,4032,3056,613,317.09,-257.41,343.58,174.44,3.81,18.23,3.3,0,0.61,0.92,                 974 (24.2%),611 (15.2%),2445 (60.6%),2 (0.0%),0,0.39,0.43,110.66,355.13,233.38
85,140,937,2,611,2482,0.997,0.726,4032,3093,613,317.09,-270.28,346.55,169.44,3.81,23.24,3.3,0,0.6,0.91,                 937 (23.2%),611 (15.2%),2482 (61.6%),2 (0.0%),0,0.38,0.41,110.66,355.83,234.11
90,145,921,0,613,2498,1,0.731,4032,3111,613,317.09,-252.8,350.58,172.89,3.81,19.78,3.3,0,0.6,0.92,                 921 (22.8%),613 (15.2%),2498 (62.0%),0 (0.0%),0,0.38,0.41,110.66,353.51,227.91
90,140,885,0,613,2534,1,0.741,4032,3147,613,317.09,-265.77,353.54,167.88,3.81,24.79,3.3,0,0.59,0.9,                 885 (21.9%),613 (15.2%),2534 (62.8%),0 (0.0%),0,0.37,0.4,110.66,354.13,228.57
95,155,883,0,613,2536,1,0.742,4032,3149,613,317.09,-248.42,379.44,176.05,3.81,16.63,3.3,0,0.6,0.93,                 883 (21.9%),613 (15.2%),2536 (62.9%),0 (0.0%),0,0.37,0.4,110.66,363.98,224.22
95,150,853,0,613,2566,1,0.751,4032,3179,613,317.09,-248.01,381.04,174.86,3.81,17.81,3.3,0,0.6,0.92,                 853 (21.2%),613 (15.2%),2566 (63.6%),0 (0.0%),0,0.36,0.39,110.66,360.77,223.81
100,180,849,0,613,2570,1,0.752,4032,3183,613,317.09,-231.77,366.08,166.01,3.81,26.66,3.3,0,0.58,0.9,                 849 (21.1%),613 (15.2%),2570 (63.7%),0 (0.0%),0,0.36,0.39,110.66,332.8,205.41
105,180,838,0,613,2581,1,0.755,4032,3194,613,317.09,-253.23,384.49,161.81,3.81,30.86,3.3,0,0.57,0.88,                 838 (20.8%),613 (15.2%),2581 (64.0%),0 (0.0%),0,0.36,0.38,110.66,336.05,211.62
100,175,696,0,613,2723,1,0.796,4032,3336,613,317.09,-275.77,397.07,164.99,3.81,27.69,3.3,0,0.56,0.89,                 696 (17.3%),613 (15.2%),2723 (67.5%),0 (0.0%),0,0.32,0.33,110.66,333.19,213.95
105,175,687,0,613,2732,1,0.799,4032,3345,613,317.09,-294.48,414,160.79,3.81,31.89,3.3,0,0.55,0.88,                 687 (17.0%),613 (15.2%),2732 (67.8%),0 (0.0%),0,0.32,0.33,110.66,333.83,217.24
100,170,681,0,613,2738,1,0.801,4032,3351,613,317.09,-274.71,398.69,164.51,3.81,28.16,3.3,0,0.56,0.89,                 681 (16.9%),613 (15.2%),2738 (67.9%),0 (0.0%),0,0.32,0.33,110.66,332.14,212.89
105,170,672,0,613,2747,1,0.803,4032,3360,613,317.09,-293.33,415.6,160.31,3.81,32.36,3.3,0,0.55,0.88,                 672 (16.7%),613 (15.2%),2747 (68.1%),0 (0.0%),0,0.32,0.33,110.66,332.87,216.08
100,165,647,0,613,2772,1,0.811,4032,3385,613,317.09,-271.03,400.32,164.03,3.81,28.65,3.3,0,0.55,0.89,                 647 (16.0%),613 (15.2%),2772 (68.8%),0 (0.0%),0,0.31,0.32,110.66,332.06,211.85
105,165,638,0,613,2781,1,0.813,4032,3394,613,317.09,-289.44,417.22,159.83,3.81,32.85,3.3,0,0.55,0.88,                 638 (15.8%),613 (15.2%),2781 (69.0%),0 (0.0%),0,0.31,0.31,110.66,333.04,214.94
100,160,605,0,613,2814,1,0.823,4032,3427,613,317.09,-266.76,401.95,163.33,3.81,29.34,3.3,0,0.55,0.89,                 605 (15.0%),613 (15.2%),2814 (69.8%),0 (0.0%),0,0.3,0.3,110.66,331.73,210.93
105,160,596,0,613,2823,1,0.826,4032,3436,613,317.09,-284.92,418.84,159.13,3.81,33.54,3.3,0,0.54,0.88,                 596 (14.8%),613 (15.2%),2823 (70.0%),0 (0.0%),0,0.3,0.3,110.66,333.04,213.91
100,155,469,0,613,2950,1,0.863,4032,3563,613,317.09,-310.85,433.86,161.66,3.81,31.02,3.3,0,0.53,0.88,                 469 (11.6%),613 (15.2%),2950 (73.2%),0 (0.0%),0,0.27,0.25,110.66,328.94,217.86
105,155,462,0,613,2957,1,0.865,4032,3570,613,317.09,-326.31,448.52,157.46,3.81,35.22,3.3,0,0.52,0.87,                 462 (11.5%),613 (15.2%),2957 (73.3%),0 (0.0%),0,0.27,0.25,110.66,327.99,218.51
100,150,443,0,613,2976,1,0.87,4032,3589,613,317.09,-310.81,435.45,160.47,3.81,32.2,3.3,0,0.52,0.88,                 443 (11.0%),613 (15.2%),2976 (73.8%),0 (0.0%),0,0.26,0.24,110.66,325.33,217.04
95,145,439,0,613,2980,1,0.872,4032,3593,613,317.09,-259.68,382.89,169.64,3.81,23.04,3.3,0,0.54,0.91,                 439 (10.9%),613 (15.2%),2980 (73.9%),0 (0.0%),0,0.26,0.24,110.66,343.39,223.56
105,150,437,0,613,2982,1,0.872,4032,3595,613,317.09,-326.42,450.09,156.27,3.81,36.4,3.3,0,0.51,0.87,                 437 (10.8%),613 (15.2%),2982 (74.0%),0 (0.0%),0,0.26,0.24,110.66,324.04,217.6
95,140,412,0,613,3007,1,0.879,4032,3620,613,317.09,-272.7,385.83,164.63,3.81,28.04,3.3,0,0.53,0.89,                 412 (10.2%),613 (15.2%),3007 (74.6%),0 (0.0%),0,0.25,0.23,110.66,342.07,223.81
100,145,45,0,613,3374,1,0.987,4032,3987,613,317.09,-316.45,437.28,155.25,3.81,37.43,3.3,0,0.47,0.87,                 45 (1.1%),613 (15.2%),3374 (83.7%),0 (0.0%),0,0.15,0.06,110.66,310.59,216.32
105,145,41,0,613,3378,1,0.988,4032,3991,613,317.09,-330.79,451.91,151.04,3.81,41.63,3.3,0,0.46,0.85,                 41 (1.0%),613 (15.2%),3378 (83.8%),0 (0.0%),0,0.14,0.06,110.66,308.94,216.77
100,140,24,0,613,3395,1,0.993,4032,4008,613,317.09,-328.56,440.21,150.24,3.81,42.44,3.3,0,0.46,0.85,                 24 (0.6%),613 (15.2%),3395 (84.2%),0 (0.0%),0,0.14,0.05,110.66,307.16,215.86
105,140,20,0,613,3399,1,0.994,4032,4012,613,317.09,-342.75,454.82,146.04,3.81,46.64,3.3,0,0.45,0.84,                 20 (0.5%),613 (15.2%),3399 (84.3%),0 (0.0%),0,0.14,0.05,110.66,305.11,216.12
