Scenario, Faulttype,Total num, Hazard coverage
9,holdrate,11,36.4%
12,bitflip_addrate,31,16.1%
13,bitflip_decrate,27,0.0%
14,holdglucose,16,43.8%
17,bitflip_addglucose,40,37.5%
18,bitflip_decglucose,28,0.0%
19,maximize_rate,19,84.2%
20,minimize_rate,19,0.0%
21,maximize_glucose,13,100.0%
22,minimize_glucose,16,0.0%
