Scenario, Faulttype,Total num, Hazard coverage
9,holdrate,16,37.5%
12,bitflip_addrate,29,27.6%
13,bitflip_decrate,33,0.0%
14,holdglucose,12,50.0%
17,bitflip_addglucose,33,48.5%
18,bitflip_decglucose,33,0.0%
19,maximize_rate,12,100.0%
20,minimize_rate,16,43.8%
21,maximize_glucose,20,100.0%
22,minimize_glucose,16,0.0%
