Scenario, Faulttype,Total num, Hazard coverage
9,holdrate,63,4.8%
12,bitflip_addrate,126,0.0%
13,bitflip_decrate,126,0.0%
14,holdglucose,63,3.2%
17,bitflip_addglucose,126,0.0%
18,bitflip_decglucose,126,0.0%
19,maximize_rate,63,22.2%
20,minimize_rate,63,50.8%
21,maximize_glucose,49,0.0%
22,minimize_glucose,49,16.3%
