Scenario, Faulttype,Total num, Hazard coverage
9,holdrate,19,31.6%
12,bitflip_addrate,39,15.4%
13,bitflip_decrate,25,0.0%
14,holdglucose,12,66.7%
17,bitflip_addglucose,36,30.6%
18,bitflip_decglucose,30,0.0%
19,maximize_rate,12,75.0%
20,minimize_rate,18,11.1%
21,maximize_glucose,15,100.0%
22,minimize_glucose,14,0.0%
