Scenario, Faulttype,Total num, Hazard coverage
9,holdrate,16,75.0%
12,bitflip_addrate,37,67.6%
13,bitflip_decrate,27,3.7%
14,holdglucose,15,66.7%
17,bitflip_addglucose,31,80.6%
18,bitflip_decglucose,33,0.0%
19,maximize_rate,17,94.1%
20,minimize_rate,13,0.0%
21,maximize_glucose,12,100.0%
22,minimize_glucose,19,5.3%
