Scenario, Faulttype,Total num, Hazard coverage
9,holdrate,11,100.0%
12,bitflip_addrate,30,100.0%
13,bitflip_decrate,30,83.3%
14,holdglucose,13,92.3%
17,bitflip_addglucose,30,100.0%
18,bitflip_decglucose,34,82.4%
19,maximize_rate,18,100.0%
20,minimize_rate,19,84.2%
21,maximize_glucose,16,100.0%
22,minimize_glucose,19,94.7%
