Scenario, Faulttype,Total num, Hazard coverage
9,holdrate,13,38.5%
12,bitflip_addrate,31,83.9%
13,bitflip_decrate,32,0.0%
14,holdglucose,15,73.3%
17,bitflip_addglucose,29,100.0%
18,bitflip_decglucose,34,11.8%
19,maximize_rate,20,90.0%
20,minimize_rate,11,0.0%
21,maximize_glucose,20,100.0%
22,minimize_glucose,15,13.3%
