Scenario, Faulttype,Total num, Hazard coverage
9,holdrate,19,31.6%
12,bitflip_addrate,34,20.6%
13,bitflip_decrate,30,0.0%
14,holdglucose,17,29.4%
17,bitflip_addglucose,25,52.0%
18,bitflip_decglucose,33,0.0%
19,maximize_rate,18,83.3%
20,minimize_rate,15,6.7%
21,maximize_glucose,10,100.0%
22,minimize_glucose,19,0.0%
