Scenario, Faulttype,Total num, Hazard coverage
9,holdrate,63,6.3%
12,bitflip_addrate,126,0.0%
13,bitflip_decrate,126,0.0%
14,holdglucose,63,12.7%
17,bitflip_addglucose,126,0.0%
18,bitflip_decglucose,126,13.5%
19,maximize_rate,63,0.0%
20,minimize_rate,63,74.6%
21,maximize_glucose,49,0.0%
22,minimize_glucose,49,51.0%
