Scenario, Faulttype,Total num, Hazard coverage
9,holdrate,20,75.0%
12,bitflip_addrate,28,64.3%
13,bitflip_decrate,32,0.0%
14,holdglucose,14,42.9%
17,bitflip_addglucose,29,82.8%
18,bitflip_decglucose,39,5.1%
19,maximize_rate,14,78.6%
20,minimize_rate,11,0.0%
21,maximize_glucose,17,100.0%
22,minimize_glucose,16,25.0%
