Scenario, Faulttype,Total num, Hazard coverage
9,holdrate,13,30.8%
12,bitflip_addrate,27,11.1%
13,bitflip_decrate,29,0.0%
14,holdglucose,17,52.9%
17,bitflip_addglucose,35,42.9%
18,bitflip_decglucose,29,0.0%
19,maximize_rate,22,95.5%
20,minimize_rate,16,25.0%
21,maximize_glucose,19,100.0%
22,minimize_glucose,13,0.0%
