Scenario, Faulttype,Total num, Hazard coverage
9,holdrate,16,37.5%
12,bitflip_addrate,34,11.8%
13,bitflip_decrate,35,0.0%
14,holdglucose,17,35.3%
17,bitflip_addglucose,30,46.7%
18,bitflip_decglucose,29,0.0%
19,maximize_rate,16,87.5%
20,minimize_rate,17,0.0%
21,maximize_glucose,12,100.0%
22,minimize_glucose,14,0.0%
