Scenario, Faulttype,Total num, Hazard coverage
9,holdrate,15,0.0%
12,bitflip_addrate,34,0.0%
13,bitflip_decrate,32,0.0%
14,holdglucose,10,10.0%
17,bitflip_addglucose,33,0.0%
18,bitflip_decglucose,34,8.8%
19,maximize_rate,17,0.0%
20,minimize_rate,17,70.6%
21,maximize_glucose,13,0.0%
22,minimize_glucose,15,73.3%
