Scenario, Faulttype,Total num, Hazard coverage
9,holdrate,14,14.3%
12,bitflip_addrate,39,0.0%
13,bitflip_decrate,23,0.0%
14,holdglucose,14,7.1%
17,bitflip_addglucose,30,0.0%
18,bitflip_decglucose,34,11.8%
19,maximize_rate,13,23.1%
20,minimize_rate,17,52.9%
21,maximize_glucose,18,0.0%
22,minimize_glucose,18,27.8%
