Scenario, Faulttype,Total num, Hazard coverage
9,holdrate,25,28.0%
12,bitflip_addrate,30,20.0%
13,bitflip_decrate,28,0.0%
14,holdglucose,12,50.0%
17,bitflip_addglucose,29,41.4%
18,bitflip_decglucose,36,8.3%
19,maximize_rate,15,86.7%
20,minimize_rate,10,0.0%
21,maximize_glucose,22,100.0%
22,minimize_glucose,13,0.0%
