Scenario, Faulttype,Total num, Hazard coverage
9,holdrate,18,11.1%
12,bitflip_addrate,30,0.0%
13,bitflip_decrate,33,0.0%
14,holdglucose,19,0.0%
17,bitflip_addglucose,36,0.0%
18,bitflip_decglucose,24,12.5%
19,maximize_rate,17,11.8%
20,minimize_rate,12,50.0%
21,maximize_glucose,16,0.0%
22,minimize_glucose,15,46.7%
