Scenario, Faulttype,Total num, Hazard coverage
9,holdrate,11,9.1%
12,bitflip_addrate,33,0.0%
13,bitflip_decrate,36,0.0%
14,holdglucose,25,0.0%
17,bitflip_addglucose,26,0.0%
18,bitflip_decglucose,29,0.0%
19,maximize_rate,18,22.2%
20,minimize_rate,17,41.2%
21,maximize_glucose,14,0.0%
22,minimize_glucose,11,9.1%
