Scenario, Faulttype,Total num, Hazard coverage
9,holdrate,63,96.8%
12,bitflip_addrate,126,100.0%
13,bitflip_decrate,126,77.8%
14,holdglucose,63,95.2%
17,bitflip_addglucose,126,100.0%
18,bitflip_decglucose,126,84.1%
19,maximize_rate,63,100.0%
20,minimize_rate,63,90.5%
21,maximize_glucose,49,98.0%
22,minimize_glucose,49,81.6%
