Scenario, Faulttype,Total num, Hazard coverage
9,holdrate,12,8.3%
12,bitflip_addrate,30,20.0%
13,bitflip_decrate,36,0.0%
14,holdglucose,21,52.4%
17,bitflip_addglucose,28,42.9%
18,bitflip_decglucose,36,2.8%
19,maximize_rate,14,85.7%
20,minimize_rate,18,38.9%
21,maximize_glucose,15,100.0%
22,minimize_glucose,10,0.0%
