Scenario, Faulttype,Total num, Hazard coverage
9,holdrate,18,5.6%
12,bitflip_addrate,24,0.0%
13,bitflip_decrate,33,0.0%
14,holdglucose,8,0.0%
17,bitflip_addglucose,35,0.0%
18,bitflip_decglucose,27,0.0%
19,maximize_rate,19,21.1%
20,minimize_rate,18,50.0%
21,maximize_glucose,21,0.0%
22,minimize_glucose,17,17.6%
