Scenario, Faulttype,Total num, Hazard coverage
9,holdrate,17,35.3%
12,bitflip_addrate,28,10.7%
13,bitflip_decrate,31,0.0%
14,holdglucose,17,41.2%
17,bitflip_addglucose,34,44.1%
18,bitflip_decglucose,30,0.0%
19,maximize_rate,12,91.7%
20,minimize_rate,15,46.7%
21,maximize_glucose,21,100.0%
22,minimize_glucose,15,0.0%
