Scenario, Faulttype,Total num, Hazard coverage
9,holdrate,22,4.5%
12,bitflip_addrate,30,0.0%
13,bitflip_decrate,32,0.0%
14,holdglucose,15,6.7%
17,bitflip_addglucose,36,0.0%
18,bitflip_decglucose,25,0.0%
19,maximize_rate,12,33.3%
20,minimize_rate,15,66.7%
21,maximize_glucose,19,0.0%
22,minimize_glucose,14,7.1%
