Scenario, Faulttype,Total num, Hazard coverage
9,holdrate,11,0.0%
12,bitflip_addrate,39,0.0%
13,bitflip_decrate,25,0.0%
14,holdglucose,15,6.7%
17,bitflip_addglucose,29,0.0%
18,bitflip_decglucose,44,0.0%
19,maximize_rate,14,14.3%
20,minimize_rate,13,46.2%
21,maximize_glucose,9,0.0%
22,minimize_glucose,21,14.3%
