Scenario, Faulttype,Total num, Hazard coverage
9,holdrate,21,0.0%
12,bitflip_addrate,27,0.0%
13,bitflip_decrate,30,0.0%
14,holdglucose,13,15.4%
17,bitflip_addglucose,27,0.0%
18,bitflip_decglucose,38,10.5%
19,maximize_rate,17,5.9%
20,minimize_rate,13,76.9%
21,maximize_glucose,15,0.0%
22,minimize_glucose,19,21.1%
