Scenario, Faulttype,Total num, Hazard coverage
9,holdrate,20,45.0%
12,bitflip_addrate,32,18.8%
13,bitflip_decrate,27,0.0%
14,holdglucose,16,56.2%
17,bitflip_addglucose,33,63.6%
18,bitflip_decglucose,26,3.8%
19,maximize_rate,19,78.9%
20,minimize_rate,8,25.0%
21,maximize_glucose,18,100.0%
22,minimize_glucose,21,0.0%
