Scenario, Faulttype,Total num, Hazard coverage
9,holdrate,14,35.7%
12,bitflip_addrate,35,17.1%
13,bitflip_decrate,30,0.0%
14,holdglucose,14,57.1%
17,bitflip_addglucose,32,46.9%
18,bitflip_decglucose,31,0.0%
19,maximize_rate,18,94.4%
20,minimize_rate,20,35.0%
21,maximize_glucose,10,100.0%
22,minimize_glucose,16,0.0%
