Scenario, Faulttype,Total num, Hazard coverage
9,holdrate,17,5.9%
12,bitflip_addrate,22,18.2%
13,bitflip_decrate,40,0.0%
14,holdglucose,19,26.3%
17,bitflip_addglucose,27,51.9%
18,bitflip_decglucose,34,0.0%
19,maximize_rate,14,92.9%
20,minimize_rate,17,47.1%
21,maximize_glucose,12,100.0%
22,minimize_glucose,18,0.0%
