Scenario, Faulttype,Total num, Hazard coverage
9,holdrate,17,76.5%
12,bitflip_addrate,32,25.0%
13,bitflip_decrate,33,0.0%
14,holdglucose,11,72.7%
17,bitflip_addglucose,32,37.5%
18,bitflip_decglucose,28,0.0%
19,maximize_rate,17,94.1%
20,minimize_rate,18,16.7%
21,maximize_glucose,17,100.0%
22,minimize_glucose,15,0.0%
