Scenario, Faulttype,Total num, Hazard coverage
9,holdrate,630,36.8%
12,bitflip_addrate,1260,31.8%
13,bitflip_decrate,1260,7.9%
14,holdglucose,630,45.2%
17,bitflip_addglucose,1260,46.3%
18,bitflip_decglucose,1260,13.5%
19,maximize_rate,630,67.1%
20,minimize_rate,630,36.0%
21,maximize_glucose,630,70.0%
22,minimize_glucose,630,20.8%
