Scenario, Faulttype,Total num, Hazard coverage
9,holdrate,17,17.6%
12,bitflip_addrate,31,0.0%
13,bitflip_decrate,27,0.0%
14,holdglucose,19,21.1%
17,bitflip_addglucose,35,0.0%
18,bitflip_decglucose,33,18.2%
19,maximize_rate,10,0.0%
20,minimize_rate,15,60.0%
21,maximize_glucose,16,0.0%
22,minimize_glucose,17,58.8%
