Scenario,fault,faultinf,Patient,init_bg,alert,alert_num,hazard_num,sub_TN,sub_FN,sub_TP,sub_FP,sub_TPR, sub_FPR,T2,T3,Reaction time(T3-t2),f1_micro,f1_macro,f1_weighted,Iteration_number,glucose_at_T3,prediction_rate,TN,FN,TP,FP,hazard_msg
0,0,N/A,patientF,140,N/A,0,16,284,16,0,0,0.0,0.0,N/A,49.0,N/A,0.9466666666666667, 0.48630136986301364,0.9207305936073059,300,72.9951476511774,0,0, 1,0,0,H1
0,0,N/A,patientF,200,rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1,46,19,251,3,16,30,0.8421052631578947,0.10676156583629894,5.0,43.0,38.0,0.89, 0.7153127246585191,0.9100704529115745,300,63.86361212695733,0.8421052631578947,0, 0,1,0,H1
0,0,N/A,patientF,160,rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1,13,19,279,8,11,2,0.5789473684210527,0.0071174377224199285,46.0,47.0,1.0,0.9666666666666667, 0.8349471830985915,0.9637177230046948,300,70.09034755371718,0.5263157894736842,0, 0,1,0,H1
0,0,N/A,patientF,80,N/A,0,2,298,2,0,0,0.0,0.0,N/A,77.0,N/A,0.9933333333333333, 0.4983277591973244,0.9900111482720177,300,76.42138118249638,0,0, 1,0,0,H1
0,0,N/A,patientF,120,N/A,0,10,290,10,0,0,0.0,0.0,N/A,52.0,N/A,0.9666666666666667, 0.4915254237288135,0.9502824858757062,300,74.30826557308522,0,0, 1,0,0,H1
0,0,N/A,patientF,100,N/A,0,6,294,6,0,0,0.0,0.0,N/A,60.0,N/A,0.98, 0.494949494949495,0.9701010101010102,300,75.57548832731223,0,0, 1,0,0,H1
0,0,N/A,patientF,180,rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1,26,20,269,5,15,11,0.75,0.039285714285714285,41.0,44.0,3.0,0.9466666666666667, 0.8116465233087428,0.949856118871972,300,67.70298729331593,0.75,0, 0,1,0,H1
