Scenario, Faulttype,Total num, Hazard coverage
9,holdrate,11,36.4%
12,bitflip_addrate,31,77.4%
13,bitflip_decrate,33,0.0%
14,holdglucose,25,76.0%
17,bitflip_addglucose,35,100.0%
18,bitflip_decglucose,33,15.2%
19,maximize_rate,14,78.6%
20,minimize_rate,14,0.0%
21,maximize_glucose,12,100.0%
22,minimize_glucose,12,0.0%
