Scenario, Faulttype,Total num, Hazard coverage
9,holdrate,18,0.0%
12,bitflip_addrate,22,0.0%
13,bitflip_decrate,30,0.0%
14,holdglucose,24,8.3%
17,bitflip_addglucose,30,0.0%
18,bitflip_decglucose,32,9.4%
19,maximize_rate,23,0.0%
20,minimize_rate,11,81.8%
21,maximize_glucose,12,0.0%
22,minimize_glucose,18,66.7%
