
Alerts for fault 1::
Alert|| Glucose = 320.0 || Time(sec)=0
Alert|| Glucose = 293.0968185085504 || Time(sec)=17
Alert|| Glucose = 286.870032375425 || Time(sec)=18

Alerts for fault 6::
Alert|| Glucose = 320.0 || Time(sec)=0
Alert|| Glucose = 320 || Time(sec)=1
Alert|| Glucose = 320 || Time(sec)=2
Alert|| Glucose = 320 || Time(sec)=3
Alert|| Glucose = 320 || Time(sec)=4
Alert|| Glucose = 319.9715747399378 || Time(sec)=5
Alert|| Glucose = 319.8652618021538 || Time(sec)=6
Alert|| Glucose = 319.6167077541378 || Time(sec)=7
Alert|| Glucose = 319.15184318635784 || Time(sec)=8
Alert|| Glucose = 318.39131753594023 || Time(sec)=9
Alert|| Glucose = 317.25437083516346 || Time(sec)=10
Alert|| Glucose = 315.6622643046646 || Time(sec)=11
Alert|| Glucose = 313.5413415315106 || Time(sec)=12
Alert|| Glucose = 310.825750027572 || Time(sec)=13
Alert|| Glucose = 307.45982062798083 || Time(sec)=14
Alert|| Glucose = 303.40007983342394 || Time(sec)=15
Alert|| Glucose = 298.61685759826383 || Time(sec)=16
Alert|| Glucose = 293.0968185085504 || Time(sec)=17
Alert|| Glucose = 286.8451752679887 || Time(sec)=18

Alerts for fault 7::
Alert|| Glucose = 320.0 || Time(sec)=0
Alert|| Glucose = 320 || Time(sec)=1
Alert|| Glucose = 320 || Time(sec)=2
Alert|| Glucose = 320 || Time(sec)=3
Alert|| Glucose = 320 || Time(sec)=4
Alert|| Glucose = 319.9715747399378 || Time(sec)=5
Alert|| Glucose = 319.8652618021538 || Time(sec)=6
Alert|| Glucose = 319.6167077541378 || Time(sec)=7
Alert|| Glucose = 319.15184318635784 || Time(sec)=8
Alert|| Glucose = 318.39131753594023 || Time(sec)=9
Alert|| Glucose = 317.25437083516346 || Time(sec)=10
Alert|| Glucose = 315.6622643046646 || Time(sec)=11
Alert|| Glucose = 313.5413415315106 || Time(sec)=12
Alert|| Glucose = 310.825750027572 || Time(sec)=13
Alert|| Glucose = 307.45982062798083 || Time(sec)=14
Alert|| Glucose = 303.40007983342394 || Time(sec)=15
Alert|| Glucose = 298.61685759826383 || Time(sec)=16
Alert|| Glucose = 293.0968185085504 || Time(sec)=17
Alert|| Glucose = 286.8451752679887 || Time(sec)=18

Alerts for fault 8::
Alert|| Glucose = 320.0 || Time(sec)=0
Alert|| Glucose = 320 || Time(sec)=1
Alert|| Glucose = 320 || Time(sec)=2
Alert|| Glucose = 320 || Time(sec)=3
Alert|| Glucose = 320 || Time(sec)=4
Alert|| Glucose = 319.9715747399378 || Time(sec)=5
Alert|| Glucose = 319.8652618021538 || Time(sec)=6
Alert|| Glucose = 319.6167077541378 || Time(sec)=7
Alert|| Glucose = 319.15184318635784 || Time(sec)=8
Alert|| Glucose = 318.39131753594023 || Time(sec)=9
Alert|| Glucose = 317.25437083516346 || Time(sec)=10
Alert|| Glucose = 315.6928061072423 || Time(sec)=11
Alert|| Glucose = 313.65495196806125 || Time(sec)=12
Alert|| Glucose = 311.0895159473967 || Time(sec)=13
Alert|| Glucose = 307.94891995800646 || Time(sec)=14
Alert|| Glucose = 304.19215174335324 || Time(sec)=15
Alert|| Glucose = 299.7871438318693 || Time(sec)=16
Alert|| Glucose = 294.71267589926964 || Time(sec)=17
Alert|| Glucose = 288.95978824683436 || Time(sec)=18
Alert|| Glucose = 282.5326932004484 || Time(sec)=19
Alert|| Glucose = 79.84107110501805 || Time(sec)=54
Alert|| Glucose = 79.4193185807642 || Time(sec)=55
Alert|| Glucose = 79.16526941672556 || Time(sec)=56
Alert|| Glucose = 79.06513326658857 || Time(sec)=57
Alert|| Glucose = 79.10574347445358 || Time(sec)=58
Alert|| Glucose = 79.27467375078616 || Time(sec)=59
Alert|| Glucose = 79.55974765600187 || Time(sec)=60
Alert|| Glucose = 79.94939824517903 || Time(sec)=61
Alert|| Glucose = 282.7183359462849 || Time(sec)=140
Alert|| Glucose = 287.458104541629 || Time(sec)=141
Alert|| Glucose = 292.2424602954988 || Time(sec)=142
Alert|| Glucose = 297.07067905535337 || Time(sec)=143
Alert|| Glucose = 301.9420315896514 || Time(sec)=144
Alert|| Glucose = 306.85578437465045 || Time(sec)=145
Alert|| Glucose = 311.8112003688525 || Time(sec)=146
Alert|| Glucose = 316.80753977364145 || Time(sec)=147
Alert|| Glucose = 321.8338945165701 || Time(sec)=148
Alert|| Glucose = 326.8710598257477 || Time(sec)=149
Alert|| Glucose = 331.89315379993565 || Time(sec)=150
Alert|| Glucose = 336.8690291537742 || Time(sec)=151
Alert|| Glucose = 341.7627446532764 || Time(sec)=152
Alert|| Glucose = 346.53247014325916 || Time(sec)=153
Alert|| Glucose = 351.12889205867083 || Time(sec)=154
Alert|| Glucose = 355.4972713890634 || Time(sec)=155
Alert|| Glucose = 359.57932746343204 || Time(sec)=156
Alert|| Glucose = 363.30838837684416 || Time(sec)=157
Alert|| Glucose = 366.61905713473897 || Time(sec)=158
Alert|| Glucose = 369.44101663201974 || Time(sec)=159
Alert|| Glucose = 371.7104586873029 || Time(sec)=160
Alert|| Glucose = 373.3632352735585 || Time(sec)=161
Alert|| Glucose = 374.3442596349952 || Time(sec)=162
Alert|| Glucose = 374.60300689236647 || Time(sec)=163
Alert|| Glucose = 374.1022098966567 || Time(sec)=164
Alert|| Glucose = 372.8133299603133 || Time(sec)=165
Alert|| Glucose = 370.72589601123553 || Time(sec)=166
Alert|| Glucose = 367.84221251657146 || Time(sec)=167
Alert|| Glucose = 364.1806373016163 || Time(sec)=168
Alert|| Glucose = 359.77322546977837 || Time(sec)=169
Alert|| Glucose = 354.6634009502948 || Time(sec)=170
Alert|| Glucose = 348.90775835123736 || Time(sec)=171
Alert|| Glucose = 342.5797314674377 || Time(sec)=172
Alert|| Glucose = 335.7638971365582 || Time(sec)=173
Alert|| Glucose = 328.55101811450106 || Time(sec)=174
Alert|| Glucose = 321.03386085565086 || Time(sec)=175
Alert|| Glucose = 313.3037917800756 || Time(sec)=176
Alert|| Glucose = 305.4481240721746 || Time(sec)=177
Alert|| Glucose = 297.5481605753986 || Time(sec)=178
Alert|| Glucose = 289.677859000458 || Time(sec)=179
Alert|| Glucose = 281.9030339229226 || Time(sec)=180

Alerts for fault 9::
Alert|| Glucose = 320.0 || Time(sec)=0
Alert|| Glucose = 320 || Time(sec)=1
Alert|| Glucose = 320 || Time(sec)=2
Alert|| Glucose = 320 || Time(sec)=3
Alert|| Glucose = 320 || Time(sec)=4
Alert|| Glucose = 319.9715747399378 || Time(sec)=5
Alert|| Glucose = 319.8652618021538 || Time(sec)=6
Alert|| Glucose = 319.6167077541378 || Time(sec)=7
Alert|| Glucose = 319.15184318635784 || Time(sec)=8
Alert|| Glucose = 318.39131753594023 || Time(sec)=9
Alert|| Glucose = 317.25437083516346 || Time(sec)=10
Alert|| Glucose = 315.6622643046646 || Time(sec)=11
Alert|| Glucose = 313.5413415315106 || Time(sec)=12
Alert|| Glucose = 310.825750027572 || Time(sec)=13
Alert|| Glucose = 307.45982062798083 || Time(sec)=14
Alert|| Glucose = 303.40007983342394 || Time(sec)=15
Alert|| Glucose = 298.61685759826383 || Time(sec)=16
Alert|| Glucose = 293.0968185085504 || Time(sec)=17
Alert|| Glucose = 286.8451752679887 || Time(sec)=18
Alert|| Glucose = 79.92029967008747 || Time(sec)=55
Alert|| Glucose = 79.81019543313323 || Time(sec)=56
Alert|| Glucose = 79.84240382513964 || Time(sec)=57
Alert|| Glucose = 281.1849191693827 || Time(sec)=150
Alert|| Glucose = 285.84325593073993 || Time(sec)=151
Alert|| Glucose = 290.5478475443155 || Time(sec)=152
Alert|| Glucose = 295.2979501761053 || Time(sec)=153
Alert|| Glucose = 300.0928151879395 || Time(sec)=154
Alert|| Glucose = 304.9316898636769 || Time(sec)=155
Alert|| Glucose = 309.8138181291868 || Time(sec)=156
Alert|| Glucose = 314.7384412643672 || Time(sec)=157
Alert|| Glucose = 319.70479860553684 || Time(sec)=158
Alert|| Glucose = 324.7121282366312 || Time(sec)=159
Alert|| Glucose = 329.75966766773183 || Time(sec)=160
Alert|| Glucose = 334.84665449955736 || Time(sec)=161
Alert|| Glucose = 339.97232707265016 || Time(sec)=162
Alert|| Glucose = 345.13592510009505 || Time(sec)=163
Alert|| Glucose = 350.32561497085334 || Time(sec)=164
Alert|| Glucose = 355.5317957733755 || Time(sec)=165
Alert|| Glucose = 360.7329267440711 || Time(sec)=166
Alert|| Glucose = 365.89785266924446 || Time(sec)=167
Alert|| Glucose = 370.9878310476038 || Time(sec)=168
Alert|| Glucose = 375.9532164886048 || Time(sec)=169
Alert|| Glucose = 380.7360428880714 || Time(sec)=170
Alert|| Glucose = 385.2723538705406 || Time(sec)=171
Alert|| Glucose = 389.48727472858985 || Time(sec)=172
Alert|| Glucose = 393.3064796519946 || Time(sec)=173
Alert|| Glucose = 396.6477828169247 || Time(sec)=174
Alert|| Glucose = 399.43472068529024 || Time(sec)=175
Alert|| Glucose = 401.5885202996234 || Time(sec)=176
Alert|| Glucose = 403.04047231076026 || Time(sec)=177
Alert|| Glucose = 403.72619338778605 || Time(sec)=178
Alert|| Glucose = 403.59617421354835 || Time(sec)=179
Alert|| Glucose = 402.6100373407596 || Time(sec)=180
Alert|| Glucose = 400.7450734865398 || Time(sec)=181
Alert|| Glucose = 397.99505592674103 || Time(sec)=182
Alert|| Glucose = 394.369831685186 || Time(sec)=183
Alert|| Glucose = 389.89359789846895 || Time(sec)=184
Alert|| Glucose = 384.60309719542636 || Time(sec)=185
Alert|| Glucose = 378.55634274371954 || Time(sec)=186
Alert|| Glucose = 371.8315629972938 || Time(sec)=187
Alert|| Glucose = 364.5207969889862 || Time(sec)=188
Alert|| Glucose = 356.7242501739065 || Time(sec)=189
Alert|| Glucose = 348.5454706344906 || Time(sec)=190
Alert|| Glucose = 340.0873684519128 || Time(sec)=191
Alert|| Glucose = 331.4490634333706 || Time(sec)=192
Alert|| Glucose = 322.72351361513955 || Time(sec)=193
Alert|| Glucose = 313.9958518980674 || Time(sec)=194
Alert|| Glucose = 305.3423417458908 || Time(sec)=195
Alert|| Glucose = 296.82985469803396 || Time(sec)=196
